day,beta,q_expanding,q_rolling_1,q_rolling_3,q_rolling_7,q_rolling_14,m_expanding,m_rolling_1,m_rolling_3,m_rolling_7,m_rolling_14
4,0.2689414322376251,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
5,0.29912102222442627,0.13678765296936035,0.08358839899301529,0.5060485601425171,0.13678765296936035,0.13678765296936035,0.18682029843330383,0.17557552456855774,0.26396358013153076,0.18682029843330383,0.18682029843330383
6,0.31385526061058044,0.19604676961898804,0.037992775440216064,0.37386664748191833,0.19604676961898804,0.19604676961898804,0.18951912224292755,0.14712417125701904,0.2843184471130371,0.18951912224292755,0.18951912224292755
7,0.3023526966571808,0.28865981101989746,0.019855769351124763,0.11416437476873398,0.28865981101989746,0.28865981101989746,0.21049517393112183,0.12020685523748398,0.24830763041973114,0.21049517393112183,0.21049517393112183
8,0.2894180715084076,0.3047114610671997,0.020188534632325172,0.06567841023206711,0.3047114610671997,0.3047114908695221,0.23062664270401,0.09892783313989639,0.20919223129749298,0.23062664270401,0.23062664270401
9,0.25991541147232056,0.2800878584384918,0.02469983883202076,0.052294936031103134,0.3628295958042145,0.2800878584384918,0.24179302155971527,0.08219458907842636,0.17378707230091095,0.26043227314949036,0.24179302155971527
10,0.27363118529319763,0.36807766556739807,0.030340969562530518,0.0432484932243824,0.1902553141117096,0.36807766556739807,0.2691735029220581,0.07092878967523575,0.14542675018310547,0.24529743194580078,0.2691735029220581
11,0.29828426241874695,0.4469524323940277,0.03540597856044769,0.027505677193403244,0.043183136731386185,0.4469524323940277,0.30573588609695435,0.06371265649795532,0.12113269418478012,0.20368283987045288,0.30573588609695435
12,0.3373303711414337,0.39502444863319397,0.14959542453289032,0.04152137413620949,0.018834535032510757,0.39502444863319397,0.322694331407547,0.08021952211856842,0.10601315647363663,0.16837859153747559,0.322694331407547
13,0.3727482259273529,0.15230129659175873,0.5857881307601929,0.09634868055582047,0.013260211795568466,0.15230129659175873,0.289639949798584,0.17804452776908875,0.10398948937654495,0.13868598639965057,0.289639949798584
14,0.5017461776733398,0.07563038170337677,0.4713459014892578,0.36560285091400146,0.011789883486926556,0.07563038915395737,0.25715962052345276,0.22327940165996552,0.1432057023048401,0.11919558048248291,0.25715962052345276
15,0.42795124650001526,0.019310427829623222,0.08092961460351944,0.8722293376922607,0.008219574578106403,0.019310427829623222,0.21607276797294617,0.1983812153339386,0.2694505453109741,0.10002265125513077,0.21607276797294617
16,0.26210281252861023,0.004042060114443302,0.011334877461194992,0.9759814739227295,0.00461713457480073,0.00402475381270051,0.16975487768650055,0.15745016932487488,0.4238896667957306,0.07915396243333817,0.16975127160549164
17,0.19666439294815063,0.0017722505144774914,0.0032479059882462025,0.9888951182365417,0.004331115633249283,0.0017538509564474225,0.1286708265542984,0.11973622441291809,0.5620779991149902,0.06085127592086792,0.12866368889808655
