day,method,n,log_loss,brier,ece,clicks
16,expanding,477680,0.6108174323830091,0.21128857252020325,0.016698114559972433,178684
16,best_fixed_window,477680,0.6099361424596518,0.21084486166145885,0.009912873522255759,178684
16,arw,477680,0.6099361424596518,0.21084486166145885,0.009912873522255759,178684
16,adamoe,477680,0.6098133351601804,0.2108256945431842,0.012145101116412847,178684
16,ops,477680,0.6095074594773701,0.21070054072208208,0.007239409500886525,178684
16,without_both,477680,0.6098108298699166,0.21082446366074464,0.012118011486777294,178684
16,amgtp_only,477680,0.6097801368471627,0.210809466065259,0.011992061364552244,178684
16,apops_only,477680,0.6092957988711659,0.2106158854867053,0.006562710905905848,178684
16,ttam,477680,0.6092873212091587,0.2106123735180936,0.006571193453484677,178684
17,expanding,450258,0.6191110850361554,0.21501364632315823,0.028347586474287454,172509
17,best_fixed_window,450258,0.6172860327085246,0.21419460833586054,0.015301820609108018,172509
17,arw,450258,0.6172860327085246,0.21419460833586054,0.015301820609108018,172509
17,adamoe,450258,0.6176611835889246,0.2143776170977122,0.02160888127586566,172509
17,ops,450258,0.6166749535596,0.21389297496106183,0.006303776748357455,172509
17,without_both,450258,0.6176578876510714,0.21437613917776221,0.02158424391338582,172509
17,amgtp_only,450258,0.6176097731778678,0.2143541962090006,0.02113419139984558,172509
17,apops_only,450258,0.616498396584698,0.21382894730647334,0.005676635771007411,172509
17,ttam,450258,0.6164977272606862,0.21382851291996965,0.0056929889464483645,172509
18,expanding,538532,0.617374602203356,0.2142258568646385,0.024074507021045854,204091
18,best_fixed_window,538532,0.6159459606903623,0.2135858215320502,0.010636281803845262,204091
18,arw,538532,0.615795225654497,0.21350452738496672,0.007985557575562208,204091
18,adamoe,538532,0.6155703336063226,0.21340980960874636,0.009471990019427811,204091
18,ops,538532,0.6154442742992617,0.2133355946238894,0.006719193854311502,204091
18,without_both,538532,0.6155619646168377,0.21340576029390468,0.009383736271483208,204091
18,amgtp_only,538532,0.6155477800720045,0.21339903371269378,0.009109214473782242,204091
18,apops_only,538532,0.6153578429967832,0.21330326372017241,0.005988169543486925,204091
18,ttam,538532,0.6153583375133793,0.2133035005045199,0.006002539501844367,204091
19,expanding,582350,0.6061780995963924,0.20916911044557315,0.013515954621061348,212241
19,best_fixed_window,582350,0.6059753859413846,0.20903185419299916,0.014422623515967108,212241
19,arw,582350,0.6053927969408293,0.20879665886434812,0.008713246167750072,212241
19,adamoe,582350,0.6053751211887164,0.20879117506311717,0.009156731375260274,212241
19,ops,582350,0.6051142190629049,0.20871189844140448,0.004916421257862539,212241
19,without_both,582350,0.605378740400585,0.20879251812552224,0.009195836834943318,212241
19,amgtp_only,582350,0.6053948346079314,0.20879849823058,0.009277422760821254,212241
19,apops_only,582350,0.6049620221844598,0.20865815730230458,0.004880387047481871,212241
19,ttam,582350,0.6049716185851791,0.2086627583383146,0.004803180450409486,212241
20,expanding,552965,0.607420033986984,0.20971706106271976,0.010929821258086584,202913
20,best_fixed_window,552965,0.6066303035168154,0.2093596333914538,0.006748475773802349,202913
20,arw,552965,0.6066303035168154,0.2093596333914538,0.006748475773802349,202913
20,adamoe,552965,0.6065580725434236,0.20932310142690416,0.008212274428727807,202913
20,ops,552965,0.6064549552230496,0.20928173883876763,0.005211583404802713,202913
20,without_both,552965,0.6065552456774097,0.2093217902835953,0.00815987246718621,202913
20,amgtp_only,552965,0.606558469347068,0.20932279591907443,0.008167332818580817,202913
20,apops_only,552965,0.6063611331581776,0.20925093331498643,0.004798527371161542,202913
20,ttam,552965,0.6063652857913403,0.20925266495997985,0.004894865859358657,202913
21,expanding,562085,0.6067143912409001,0.20939612703341728,0.011458846899827378,205782
21,best_fixed_window,562085,0.6061071305408983,0.20910763586277115,0.009458868308295437,205782
21,arw,562085,0.6061071305408983,0.20910763586277115,0.009458868308295437,205782
21,adamoe,562085,0.6058763945241445,0.2090236624507892,0.009253149451096785,205782
21,ops,562085,0.6057362032668216,0.20897835660224762,0.006605082870929291,205782
21,without_both,562085,0.6058744116775493,0.20902285630369402,0.009250615046712,205782
21,amgtp_only,562085,0.605877522563797,0.20902370202684706,0.009234328152117171,205782
21,apops_only,562085,0.6055364182423666,0.20891309640446848,0.006209258474872282,205782
21,ttam,562085,0.6055370338366848,0.2089132890871427,0.006128110782811653,205782
22,expanding,528347,0.6084343584717371,0.2101841415757597,0.009008386637365945,195055
22,best_fixed_window,528347,0.6078286349621869,0.2099402780447394,0.006692374563181155,195055
22,arw,528347,0.6078286349621869,0.2099402780447394,0.006692374563181155,195055
22,adamoe,528347,0.6076453080953332,0.20986674640002814,0.007574276317398169,195055
22,ops,528347,0.6075473091996881,0.2098391683128891,0.005267554611653455,195055
22,without_both,528347,0.6076445864115809,0.20986647871458297,0.007567529876026165,195055
22,amgtp_only,528347,0.6076348594433245,0.20986340113061444,0.007574359334759766,195055
22,apops_only,528347,0.6074508714642073,0.20980269030645268,0.005380186878133221,195055
22,ttam,528347,0.6074447640090296,0.20980045990342905,0.005436566600892834,195055
23,expanding,506792,0.6086926048175425,0.21037258842584503,0.013287073060975499,186589
23,best_fixed_window,506792,0.60787152090978,0.20998657845039684,0.007900578860485395,186589
23,arw,506792,0.60787152090978,0.20998657845039684,0.007900578860485395,186589
23,adamoe,506792,0.6076824979520742,0.20991961506744417,0.006704350257398548,186589
23,ops,506792,0.6077004865216306,0.20993661997929405,0.0075949211109902,186589
23,without_both,506792,0.6076814861348854,0.20991918687264052,0.006678848842440741,186589
23,amgtp_only,506792,0.6076793536598805,0.20991870316227923,0.006604503521800696,186589
23,apops_only,506792,0.6074590347828338,0.2098432327177452,0.006434291498181839,186589
23,ttam,506792,0.6074585475910587,0.209842899332014,0.00639453887699271,186589
24,expanding,436408,0.6156294851499654,0.21352289189644105,0.021764920909979068,164916
24,best_fixed_window,436408,0.6139842201697819,0.2127814416169669,0.009488187956540214,164916
24,arw,436408,0.6139842201697819,0.2127814416169669,0.009488187956540214,164916
24,adamoe,436408,0.6140290700605109,0.21281132634570443,0.012164688525222176,164916
24,ops,436408,0.6137624704947803,0.21267836986157723,0.0067974190104315895,164916
24,without_both,436408,0.6140264632300966,0.21281016623074187,0.012130410040440173,164916
24,amgtp_only,436408,0.6140200445719985,0.2128071745502722,0.012016001180250967,164916
24,apops_only,436408,0.6137195715800704,0.2126641252324763,0.006710108380265011,164916
24,ttam,436408,0.613718989006121,0.2126638784364172,0.006744963221925967,164916
25,expanding,507128,0.6126033666067289,0.21211261470700452,0.015792296095609223,188189
25,best_fixed_window,507128,0.611441075706786,0.21158404710959178,0.008178370280003233,188189
25,arw,507128,0.611549357905601,0.21163885895397977,0.006035860722893636,188189
25,adamoe,507128,0.6111687700734749,0.21146644439783407,0.008003974112348647,188189
25,ops,507128,0.6112244072373768,0.21147926951896978,0.007357387783855657,188189
25,without_both,507128,0.6111658467748255,0.21146506223353997,0.0080316917726356,188189
25,amgtp_only,507128,0.6111551417889463,0.21146006752785437,0.008014218203225093,188189
