origin,eta,halflife,seed,inner_loss
5,10.0,3.0,0,0.42489246839531264
5,10.0,5.0,0,0.42489246839531264
5,10.0,10.0,0,0.42489246839531264
5,30.0,3.0,0,0.42489246839531264
5,30.0,5.0,0,0.42489246839531264
5,30.0,10.0,0,0.42489246839531264
5,60.0,3.0,0,0.42489246839531264
5,60.0,5.0,0,0.42489246839531264
5,60.0,10.0,0,0.42489246839531264
5,150.0,3.0,0,0.42489246839531264
5,150.0,5.0,0,0.42489246839531264
5,150.0,10.0,0,0.42489246839531264
5,1000000.0,3.0,0,0.42489246839531264
5,1000000.0,5.0,0,0.42489246839531264
5,1000000.0,10.0,0,0.42489246839531264
6,10.0,3.0,0,0.4210056460201142
6,10.0,5.0,0,0.42100564497578696
6,10.0,10.0,0,0.4210056442166941
6,30.0,3.0,0,0.4210056648624196
6,30.0,5.0,0,0.42100566172926046
6,30.0,10.0,0,0.42100565945186597
6,60.0,3.0,0,0.42100569312799285
6,60.0,5.0,0,0.4210056868611436
6,60.0,10.0,0,0.42100568230600754
6,150.0,3.0,0,0.42100577793986343
6,150.0,5.0,0,0.4210057622687826
6,150.0,10.0,0,0.4210057508783547
6,1000000.0,3.0,0,0.4211008412544458
6,1000000.0,5.0,0,0.4211008412519405
6,1000000.0,10.0,0,0.4211008412404414
7,10.0,3.0,0,0.4217772660754979
7,10.0,5.0,0,0.42177728382911084
7,10.0,10.0,0,0.4217772963565371
7,30.0,3.0,0,0.4217770385198872
7,30.0,5.0,0,0.4217770917835745
7,30.0,10.0,0,0.4217771293675844
7,60.0,3.0,0,0.4217766971625365
7,60.0,5.0,0,0.42177680369804244
7,60.0,10.0,0,0.4217768788710389
7,150.0,3.0,0,0.421775672935958
7,150.0,5.0,0,0.42177593932823065
7,150.0,10.0,0,0.4217761272941541
7,1000000.0,3.0,0,0.4216588375680174
7,1000000.0,5.0,0,0.42165883756548567
7,1000000.0,10.0,0,0.4216588375538648
8,10.0,3.0,0,0.4014025766194315
8,10.0,5.0,0,0.40140253499466105
8,10.0,10.0,0,0.4014025049730222
8,30.0,3.0,0,0.40140311383795413
8,30.0,5.0,0,0.40140298635720695
8,30.0,10.0,0,0.40140289469510426
8,60.0,3.0,0,0.40140394229905146
8,60.0,5.0,0,0.4014036794825673
8,60.0,10.0,0,0.40140349134800374
8,150.0,3.0,0,0.4014065920659663
8,150.0,5.0,0,0.40140587551388157
8,150.0,10.0,0,0.40140536878080385
8,1000000.0,3.0,0,0.4019551712170162
8,1000000.0,5.0,0,0.40195517121487884
8,1000000.0,10.0,0,0.4019551712050689
9,10.0,3.0,0,0.38893316335216627
9,10.0,5.0,0,0.3889331123513762
9,10.0,10.0,0,0.38893307735066707
9,30.0,3.0,0,0.38893369850159293
9,30.0,5.0,0,0.38893354288926746
9,30.0,10.0,0,0.3889334362951881
