origin,eta,halflife,seed,inner_loss
9,60.0,3.0,0,0.3889345238729257
9,60.0,5.0,0,0.3889342047827245
9,60.0,10.0,0,0.38893398679992036
9,150.0,3.0,0,0.3889371644707928
9,150.0,5.0,0,0.388936307155188
9,150.0,10.0,0,0.3889357259195425
9,1000000.0,3.0,0,0.3894862853202754
9,1000000.0,5.0,0,0.38944830696569865
9,1000000.0,10.0,0,0.3894483114956213
5,10.0,3.0,1,0.42478560811437904
5,10.0,5.0,1,0.42478560811437904
5,10.0,10.0,1,0.42478560811437904
5,30.0,3.0,1,0.42478560811437904
5,30.0,5.0,1,0.42478560811437904
5,30.0,10.0,1,0.42478560811437904
5,60.0,3.0,1,0.42478560811437904
5,60.0,5.0,1,0.42478560811437904
5,60.0,10.0,1,0.42478560811437904
5,150.0,3.0,1,0.42478560811437904
5,150.0,5.0,1,0.42478560811437904
5,150.0,10.0,1,0.42478560811437904
5,1000000.0,3.0,1,0.42478560811437904
5,1000000.0,5.0,1,0.42478560811437904
5,1000000.0,10.0,1,0.42478560811437904
6,10.0,3.0,1,0.4210320460739035
6,10.0,5.0,1,0.42103204048682447
6,10.0,10.0,1,0.421032036425712
6,30.0,3.0,1,0.4210321468740493
6,30.0,5.0,1,0.4210321301133216
6,30.0,10.0,1,0.4210321179303161
6,60.0,3.0,1,0.42103229806804393
6,60.0,5.0,1,0.4210322645481754
6,60.0,10.0,1,0.4210322401831939
6,150.0,3.0,1,0.4210327516019303
6,150.0,5.0,1,0.4210326678152051
6,150.0,10.0,1,0.42103260691108646
6,1000000.0,3.0,1,0.42117867328734726
6,1000000.0,5.0,1,0.42117867328734726
6,1000000.0,10.0,1,0.42117867328734726
7,10.0,3.0,1,0.4218842631473268
7,10.0,5.0,1,0.4218842962587907
7,10.0,10.0,1,0.421884319342696
7,30.0,3.0,1,0.4218838823969515
7,30.0,5.0,1,0.4218839817636341
7,30.0,10.0,1,0.4218840510347301
7,60.0,3.0,1,0.42188331100134013
7,60.0,5.0,1,0.4218835098288394
7,60.0,10.0,1,0.4218836484277858
7,150.0,3.0,1,0.4218815949821728
7,150.0,5.0,1,0.42188209270743415
7,150.0,10.0,1,0.42188243960541977
7,1000000.0,3.0,1,0.42178048020015896
7,1000000.0,5.0,1,0.42178048020015896
7,1000000.0,10.0,1,0.42178048020015896
8,10.0,3.0,1,0.4013982025988544
8,10.0,5.0,1,0.40139819495907564
8,10.0,10.0,1,0.4013981887293833
8,30.0,3.0,1,0.4013983548029122
8,30.0,5.0,1,0.4013983287027525
8,30.0,10.0,1,0.40139830804036997
8,60.0,3.0,1,0.401398611408305
8,60.0,5.0,1,0.4013985495927841
8,60.0,10.0,1,0.40139850230925933
8,150.0,3.0,1,0.40139958795852226
8,150.0,5.0,1,0.4013993600727499
8,150.0,10.0,1,0.40139919650844985
8,1000000.0,3.0,1,0.4018406028290547
8,1000000.0,5.0,1,0.4018406028290547
8,1000000.0,10.0,1,0.4018406028290547
9,10.0,3.0,1,0.3888578428927527
9,10.0,5.0,1,0.3888578357278872
9,10.0,10.0,1,0.3888578325515834
9,30.0,3.0,1,0.38885779751487576
9,30.0,5.0,1,0.38885777285767714
9,30.0,10.0,1,0.3888577613565937
9,60.0,3.0,1,0.38885775806695105
9,60.0,5.0,1,0.38885769919242846
9,60.0,10.0,1,0.3888576702349132
9,150.0,3.0,1,0.3888578487942757
9,150.0,5.0,1,0.3888576286814866
9,150.0,10.0,1,0.3888575109579901
9,1000000.0,3.0,1,0.38919343180261606
9,1000000.0,5.0,1,0.38919343180261606
9,1000000.0,10.0,1,0.38919343180261606
5,10.0,3.0,2,0.4251339219317883
5,10.0,5.0,2,0.4251339219317883
5,10.0,10.0,2,0.4251339219317883
5,30.0,3.0,2,0.4251339219317883
5,30.0,5.0,2,0.4251339219317883
5,30.0,10.0,2,0.4251339219317883
5,60.0,3.0,2,0.4251339219317883
5,60.0,5.0,2,0.4251339219317883
5,60.0,10.0,2,0.4251339219317883
5,150.0,3.0,2,0.4251339219317883
5,150.0,5.0,2,0.4251339219317883
5,150.0,10.0,2,0.4251339219317883
5,1000000.0,3.0,2,0.4251339219317883
5,1000000.0,5.0,2,0.4251339219317883
5,1000000.0,10.0,2,0.4251339219317883
6,10.0,3.0,2,0.42105243408543636
6,10.0,5.0,2,0.4210524335518671
6,10.0,10.0,2,0.42105243316402985
6,30.0,3.0,2,0.42105244371230294
6,30.0,5.0,2,0.4210524421115262
6,30.0,10.0,2,0.42105244094796984
6,60.0,3.0,2,0.4210524581534225
6,60.0,5.0,2,0.4210524549516633
6,60.0,10.0,2,0.4210524526244158
6,150.0,3.0,2,0.4210525014826698
6,150.0,5.0,2,0.4210524934767319
6,150.0,10.0,2,0.42105248765760694
6,1000000.0,3.0,2,0.4211350265414238
6,1000000.0,5.0,2,0.42113502417906473
6,1000000.0,10.0,2,0.4211350188668141
7,10.0,3.0,2,0.42187118679899394
7,10.0,5.0,2,0.4218712004811076
7,10.0,10.0,2,0.4218712101763294
7,30.0,3.0,2,0.4218710057009453
7,30.0,5.0,2,0.4218710467500777
7,30.0,10.0,2,0.42187107583745226
7,60.0,3.0,2,0.42187073402919856
7,60.0,5.0,2,0.42187081613561955
7,60.0,10.0,2,0.42187087431538195
7,150.0,3.0,2,0.421869918845811
7,150.0,5.0,2,0.4218701241691237
7,150.0,10.0,2,0.4218702696540689
7,1000000.0,3.0,2,0.42174806550667443
7,1000000.0,5.0,2,0.4217480631193203
7,1000000.0,10.0,2,0.42174805775086316
8,10.0,3.0,2,0.40142450434199217
8,10.0,5.0,2,0.40142442553073376
8,10.0,10.0,2,0.4014243689679335
8,30.0,3.0,2,0.4014255092989381
8,30.0,5.0,2,0.4014252701414824
8,30.0,10.0,2,0.40142509878625227
8,60.0,3.0,2,0.40142704030641674
8,60.0,5.0,2,0.40142655379852227
8,60.0,10.0,2,0.4014262060759931
8,150.0,3.0,2,0.40143180389905003
8,150.0,5.0,2,0.4014305258271945
8,150.0,10.0,2,0.4014296187397105
8,1000000.0,3.0,2,0.4021762834965156
8,1000000.0,5.0,2,0.4021762814811619
8,1000000.0,10.0,2,0.4021762769492244
9,10.0,3.0,2,0.3889081711010203
9,10.0,5.0,2,0.38890807251068177
9,10.0,10.0,2,0.38890800358095645
9,30.0,3.0,2,0.38890929288910764
9,30.0,5.0,2,0.38890899424584574
9,30.0,10.0,2,0.38890878572574017
9,60.0,3.0,2,0.38891099982465605
9,60.0,5.0,2,0.3889103939030081
9,60.0,10.0,2,0.3889099716594702
9,150.0,3.0,2,0.38891629602065736
9,150.0,5.0,2,0.38891471616268525
9,150.0,10.0,2,0.38891362135706825
9,1000000.0,3.0,2,0.38966996876962756
9,1000000.0,5.0,2,0.38966996876962756
9,1000000.0,10.0,2,0.38966996876962756
