method,seed_avg_mean_ll,mean_delta_vs_ops,imp_wt_delta_vs_ops,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,n_days,sign_test_p,worst_day_delta,loo_reverses_sign
OPS,0.40163603875120646,,,,,,,,,,
Reset-ONS,0.40165510800729703,1.906925609057586e-05,3.43819813102219e-05,-8.980287090045724e-05,0.0001333730208922912,False,3.0,5.0,1.0,0.00019246159375591043,True
Persistent-ONS,0.40158724897875386,-4.8789772452606514e-05,-3.4241315384619706e-05,-0.0001431658123389079,5.722477483421917e-05,False,3.0,5.0,1.0,0.00013177929129276622,False
AP-OPS,0.40150021832335386,-0.00013582042785265092,-0.0001368771584350255,-0.00018118140826179908,-9.779831877184674e-05,True,5.0,5.0,0.0625,-7.346745295649937e-05,False
No-slope,0.40186534271506125,0.00022930396385475448,0.0002580786418627615,8.125925131948657e-05,0.0003965874416206105,True,0.0,5.0,0.0625,0.0005531169556090565,False
