day,mean_alpha
4,0.10871428571428572
5,0.10871428571428574
6,0.10854939438372302
7,0.1082229081301176
8,0.10748016570618737
9,0.10674878632002167
10,0.10607240737463945
11,0.1053177447375254
12,0.10461334432630268
13,0.1036733780803615
14,0.10263118162310418
15,0.10158706834846228
16,0.10059630637600601
17,0.09959587145382015
18,0.09852987518488265
19,0.09753333838960904
20,0.0966198587586665
21,0.09557099916095348
22,0.0945029608957897
23,0.09340967950904755
24,0.09214008288247386
25,0.09115853749269057
26,0.09010914873612434
27,0.08913643808420925
28,0.08803872864590612
29,0.0869695717208711
30,0.08587503987825336
31,0.08468685184010337
32,0.08376718196745281
33,0.08264367288615429
34,0.08150148137899021
35,0.08046905175505308
36,0.07917344421348703
37,0.0781255108623423
38,0.07729144546818106
39,0.07636299572420799
40,0.07526349661918647
41,0.0748774888340743
42,0.07775382281275812
43,0.0800680870603401
44,0.08283089960751869
45,0.08553454234722356
46,0.08744704685004527
47,0.08858845762765047
48,0.08916790843285798
49,0.08941668823099792
50,0.08931464793391973
51,0.08912699742569084
52,0.08913723431306127
53,0.08846213452382307
54,0.0880190322253645
55,0.0868150608192225
56,0.0859760308981507
57,0.08518940919140007
58,0.08459542312937376
59,0.08352246402989
60,0.08299389865881546
61,0.0823431724670069
62,0.08148531888183785
63,0.08063997613366795
64,0.08008673812249842
65,0.07927707962067272
66,0.07891909791992582
67,0.0781316542550978
68,0.07768357682492442
69,0.07724857130090249
70,0.07674054813295624
71,0.07632325792207598
72,0.07579512592247438
73,0.07516620714482805
74,0.0748314372452172
75,0.07426985849024557
76,0.07401145692962642
77,0.07329214037271597
78,0.07297076771995979
79,0.07218228075296235
80,0.07151295797224057
81,0.07116297984171108
82,0.07217450730489937
83,0.07385072237456992
84,0.07619164381919996
85,0.07745789939528014
86,0.07831224869970799
87,0.0789324384471084
88,0.07884145018947668
89,0.07849587694551767
90,0.07828055387555416
91,0.0778364735129539
92,0.07697861307671654
93,0.07592726593865097
94,0.07501286482224194
95,0.07411237172162341
96,0.07333963422023322
97,0.07261629169911668
98,0.07195582566613662
99,0.0712749073177209
100,0.07017136009381977
101,0.06909945546940785
102,0.06808409580049575
103,0.0674502801905458
104,0.06697241491374524
105,0.06598470012200927
106,0.06510637262244565
107,0.0645070870503913
108,0.06412738430416143
109,0.0634495534650107
110,0.06273200496363894
111,0.06212217571619225
112,0.061476492389552245
113,0.06085296671561307
114,0.06021179388769779
115,0.05950186346356568
116,0.05901986963133521
117,0.058671565094032437
118,0.058268437962465405
119,0.057710634619333116
