day,beta,q_expanding,q_rolling_1,q_rolling_3,q_rolling_7,q_rolling_14,m_expanding,m_rolling_1,m_rolling_3,m_rolling_7,m_rolling_14
4,0.2689414322376251,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
5,0.29399195313453674,0.30204737186431885,0.04107857123017311,0.052779410034418106,0.30204734206199646,0.30204737186431885,0.22143152356147766,0.16663195192813873,0.16907352209091187,0.22143152356147766,0.22143152356147766
6,0.25805529952049255,0.3214869499206543,0.01272598933428526,0.02281424216926098,0.3214869499206543,0.3214869797229767,0.24350354075431824,0.13267412781715393,0.13681524991989136,0.24350354075431824,0.24350354075431824
7,0.20491792261600494,0.32024040818214417,0.009521806612610817,0.029757346957921982,0.32024040818214417,0.32024040818214417,0.261915385723114,0.10313574224710464,0.11111802607774734,0.261915385723114,0.2619154155254364
8,0.22565138339996338,0.3034413158893585,0.013566957786679268,0.07610882073640823,0.3034413158893585,0.3034413158893585,0.27165648341178894,0.08202657103538513,0.10300396382808685,0.27165645360946655,0.27165648341178894
9,0.26064419746398926,0.3491753041744232,0.01828438974916935,0.07708942890167236,0.20627620816230774,0.3491753041744232,0.28864917159080505,0.06787277013063431,0.09733283519744873,0.25749602913856506,0.28864917159080505
10,0.2948841452598572,0.4083344638347626,0.018146220594644547,0.03633429855108261,0.12885035574436188,0.40833452343940735,0.31397363543510437,0.05736452341079712,0.08441992104053497,0.23026823997497559,0.31397363543510437
11,0.3106980621814728,0.43708154559135437,0.017433585599064827,0.021180225536227226,0.08722330629825592,0.4370816648006439,0.339141309261322,0.04921688884496689,0.07148720324039459,0.20101326704025269,0.339141309261322
12,0.33701223134994507,0.42952942848205566,0.025010865181684494,0.030253328382968903,0.08567715436220169,0.4295295774936676,0.35796308517456055,0.044023945927619934,0.062798410654068,0.1772514432668686,0.35796308517456055
13,0.3454461395740509,0.4167739748954773,0.03061949461698532,0.050651419907808304,0.08518127351999283,0.41677403450012207,0.36889082193374634,0.04175689443945885,0.06082792580127716,0.15963347256183624,0.36889082193374634
14,0.36295321583747864,0.42637714743614197,0.026058731600642204,0.05414368584752083,0.06704207509756088,0.42637723684310913,0.3799299895763397,0.03873656690120697,0.059549447149038315,0.14185389876365662,0.3799300193786621
15,0.38121649622917175,0.4322730600833893,0.02257470414042473,0.04681602492928505,0.06606331467628479,0.4322730600833893,0.3896188735961914,0.035750336945056915,0.057205602526664734,0.12780620157718658,0.3896189033985138
16,0.4029264450073242,0.43726569414138794,0.025111114606261253,0.04601157084107399,0.08240529149770737,0.40920594334602356,0.3985356092453003,0.033671703189611435,0.05498823896050453,0.11946237832307816,0.3933420181274414
17,0.4272238314151764,0.47533267736434937,0.032838691025972366,0.05696209892630577,0.1122090145945549,0.32265713810920715,0.4114415645599365,0.03359894081950188,0.055447835475206375,0.11825799942016602,0.38125360012054443
18,0.45639243721961975,0.5029230713844299,0.03772600740194321,0.07158442586660385,0.12507513165473938,0.26269131898880005,0.4263000190258026,0.034301795065402985,0.058090753853321075,0.11936666816473007,0.3619406819343567
19,0.4801211655139923,0.6131252646446228,0.029439572244882584,0.052266016602516174,0.10240640491247177,0.20276188850402832,0.455660879611969,0.033511944115161896,0.05714094638824463,0.11667270958423615,0.33701348304748535
20,0.4703771471977234,0.7065485715866089,0.02364317514002323,0.03635874018073082,0.08290322124958038,0.150546595454216,0.4955098032951355,0.03195123374462128,0.0538453683257103,0.11129798740148544,0.3073955476284027
