day,selected_window
7,expanding
8,expanding
9,expanding
10,expanding
11,expanding
12,expanding
13,expanding
14,expanding
15,expanding
16,rolling_14
17,rolling_3
18,rolling_3
19,rolling_3
20,rolling_3
21,rolling_3
22,rolling_3
23,rolling_3
24,rolling_7
25,expanding
26,expanding
27,expanding
28,expanding
29,expanding
30,expanding
31,rolling_3
32,rolling_3
33,rolling_3
34,rolling_7
35,rolling_7
36,rolling_7
37,rolling_7
38,rolling_7
39,rolling_7
40,rolling_7
41,rolling_7
42,rolling_7
43,rolling_7
44,expanding
45,expanding
46,expanding
47,rolling_3
48,rolling_3
49,rolling_3
50,rolling_3
51,rolling_3
52,rolling_3
53,rolling_7
54,rolling_7
55,rolling_7
56,rolling_7
57,rolling_7
58,expanding
59,expanding
60,expanding
61,expanding
62,rolling_3
63,rolling_3
64,rolling_3
65,rolling_3
66,rolling_3
67,rolling_3
68,rolling_7
69,rolling_7
70,rolling_7
71,expanding
72,expanding
73,expanding
74,rolling_3
75,rolling_3
76,rolling_3
77,rolling_3
78,rolling_3
79,rolling_3
80,rolling_7
81,rolling_7
82,expanding
83,expanding
84,expanding
85,expanding
86,rolling_3
87,rolling_3
88,rolling_3
89,expanding
90,expanding
91,expanding
92,rolling_3
93,rolling_3
94,rolling_3
95,rolling_3
96,rolling_3
97,rolling_3
98,rolling_7
99,rolling_7
100,rolling_7
101,rolling_7
102,rolling_7
103,rolling_7
104,rolling_7
105,rolling_7
106,rolling_7
107,rolling_7
108,expanding
109,expanding
110,expanding
111,rolling_3
112,rolling_3
113,rolling_3
114,rolling_3
115,expanding
116,expanding
117,expanding
118,rolling_3
119,rolling_3
