day,beta,q_expanding,q_rolling_1,q_rolling_3,q_rolling_7,q_rolling_14,m_expanding,m_rolling_1,m_rolling_3,m_rolling_7,m_rolling_14
4,0.2689414322376251,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
5,0.2976347506046295,0.30225446820259094,0.04699219763278961,0.04624437540769577,0.30225449800491333,0.30225449800491333,0.22155746817588806,0.16774313151836395,0.16758447885513306,0.22155746817588806,0.22155746817588806
6,0.3793468773365021,0.3195059597492218,0.0303795263171196,0.011102961376309395,0.3195059597492218,0.3195059299468994,0.24010160565376282,0.14153002202510834,0.1381651610136032,0.24010160565376282,0.24010160565376282
7,0.5226513743400574,0.2830687165260315,0.12799948453903198,0.022793792188167572,0.2830687165260315,0.2830687165260315,0.24647146463394165,0.13886025547981262,0.12172535061836243,0.24647146463394165,0.24647146463394165
8,0.6069346070289612,0.11054380238056183,0.5803581476211548,0.08801039308309555,0.11054380983114243,0.11054380238056183,0.22969408333301544,0.19376324117183685,0.11715450882911682,0.22969408333301544,0.22969408333301544
9,0.7080779671669006,0.04040762409567833,0.6414607167243958,0.23886168003082275,0.03886197507381439,0.040407612919807434,0.211942657828331,0.236970454454422,0.12732471525669098,0.21181954443454742,0.2119426429271698
10,0.8169848322868347,0.020452585071325302,0.35916417837142944,0.5812965035438538,0.018633654341101646,0.020452579483389854,0.20170316100120544,0.24323353171348572,0.15186971426010132,0.20149047672748566,0.20170313119888306
11,0.9263038039207458,0.011735913343727589,0.22392995655536652,0.7426673173904419,0.00993095152080059,0.011735912412405014,0.19621947407722473,0.24249736964702606,0.1691156029701233,0.19594815373420715,0.19621942937374115
12,0.9555326700210571,0.014788773842155933,0.1942572295665741,0.7642962336540222,0.01186950784176588,0.014788773842155933,0.19403281807899475,0.24201996624469757,0.1761823296546936,0.1937321126461029,0.19403278827667236
13,0.9614870548248291,0.024413442239165306,0.2070513665676117,0.7250163555145264,0.019105397164821625,0.024413438513875008,0.19242505729198456,0.24171897768974304,0.18134883046150208,0.19208212196826935,0.19242504239082336
14,0.9599413871765137,0.04241117462515831,0.23357358574867249,0.6486534476280212,0.03295036777853966,0.04241117462515831,0.19094528257846832,0.24164889752864838,0.1859414428472519,0.19051916897296906,0.19094525277614594
15,0.9719997644424438,0.06649835407733917,0.29210013151168823,0.523873507976532,0.05102869123220444,0.06649835407733917,0.189677432179451,0.2419910430908203,0.18957918882369995,0.18907499313354492,0.1896773874759674
16,0.9733991622924805,0.1155364066362381,0.34083130955696106,0.3405856192111969,0.08766232430934906,0.11538378894329071,0.18910343945026398,0.2427317351102829,0.1907878816127777,0.18827487528324127,0.1891021430492401
