day,mean_alpha
4,0.10871428571428571
5,0.10871428571428574
6,0.10863303405229519
7,0.10837491678815522
8,0.10794390931725503
9,0.10738602235009384
10,0.10708829523568042
11,0.10665312087550685
12,0.1070942973207906
13,0.10836679564545118
14,0.11106962344179183
15,0.11417927943113426
16,0.1169705363540815
17,0.1186875996779911
18,0.11866490379708962
19,0.11749100597805895
20,0.11679295333133492
21,0.11685940752231248
22,0.11818714213895413
23,0.11975831296602023
24,0.12143353388898326
25,0.12299199969085423
26,0.12358121277123318
27,0.12339351411164863
28,0.12263397983094962
29,0.1214427681409859
30,0.12057050179712311
31,0.120227201810613
32,0.12012572958160414
33,0.12046582074605529
34,0.12100490946962929
35,0.12124937768306358
36,0.12199022545731342
37,0.12249228525207644
38,0.1229607027764868
39,0.12260411710644084
40,0.12204255856418557
41,0.12128207960713766
42,0.121020740821555
43,0.12057986113599409
44,0.11996054336597134
45,0.11871550396493398
46,0.1176922518156467
47,0.11684268286129455
48,0.11640237164241013
49,0.1167671713868511
50,0.11660430772312885
51,0.11597308922512922
52,0.1152840519502955
53,0.11408857075827764
54,0.1123184153581881
55,0.11020356019641214
56,0.10895923161306834
57,0.10836629698554037
58,0.10931821153457322
59,0.11125215880123289
60,0.11304486154092355
61,0.11379191294674613
62,0.11341852909982768
63,0.11250481464261065
64,0.11037323132051964
65,0.10683629303331721
66,0.10363041374286468
67,0.10203395200374912
68,0.10162875364291647
69,0.10263948459445654
70,0.10459082132759923
71,0.10658643118496587
72,0.10775584258814438
73,0.10701609136069296
74,0.10515318733818926
75,0.10181893857004141
76,0.09891548450059412
77,0.09667311933595421
78,0.09694630949499772
79,0.09899181101663468
80,0.10342604016361136
81,0.10708274270780047
82,0.10984251296497748
83,0.11033984055601354
84,0.10920291920437879
85,0.10598067075540263
86,0.10154634441436633
87,0.097806269941418
88,0.09593621755053766
89,0.09618326360880614
90,0.09855514151830404
91,0.10132405787563381
92,0.10494321223116593
93,0.10650317806117557
94,0.1066178515932856
95,0.10540000306859781
96,0.10150632840901003
97,0.0981363060788027
98,0.09590199244851891
99,0.09516913933997466
100,0.09791050183188359
101,0.10304037518507514
102,0.10841169224691047
103,0.11145310642679468
104,0.11351289662831077
105,0.11236428921537442
106,0.10837792405844038
107,0.10489816824468037
108,0.10145145262906798
109,0.10023634417676226
110,0.10067875555662897
111,0.1022786500032927
112,0.10639883495079869
113,0.11048678813547533
114,0.1131071797941488
115,0.1132892589276602
116,0.1114014449849653
117,0.10807096720056582
118,0.10454526090027244
119,0.1016346039310477
