method,day,gate_move_l1,pi_expanding,pi_rolling_1,pi_rolling_3,pi_rolling_7,pi_rolling_14,h_eff,pi_m2,pi_m5b,pi_m5b_hs
adamoe,4,,0.2,0.2,0.2,0.2,0.2,17.0,,,
adamoe,5,0.0046213297954325605,0.20038971587751853,0.1976893351022837,0.20114151726516072,0.20038971587751853,0.20038971587751853,17.032680872976766,,,
adamoe,6,0.004856570434261465,0.20047961415106885,0.19526104988515308,0.20330010766164058,0.20047961415106885,0.20047961415106885,17.04401011910665,,,
adamoe,7,0.01059263275736666,0.20224505294396322,0.1906091352943925,0.20265570587371762,0.20224505294396322,0.20224505294396322,17.180425541376565,,,
adamoe,8,0.013242553150394798,0.20445214513569568,0.18685404417281157,0.19978952042010112,0.20445214513569568,0.20445214513569568,17.346846361424465,,,
adamoe,9,0.005760866697014422,0.205381993268605,0.1878747812555005,0.1979287433795066,0.20343248882778336,0.205381993268605,17.403955935065273,,,
adamoe,10,0.014041037634933973,0.20400529591212962,0.19449148541786207,0.19833255803461194,0.19916536472326707,0.20400529591212962,17.280038610082162,,,
adamoe,11,0.02097040556269958,0.20056337552636194,0.20040095207640812,0.20290829415741565,0.19556400271345262,0.20056337552636194,17.019763642493608,,,
adamoe,12,0.02615113756352891,0.19556714732637262,0.20787539246732079,0.20850942254826726,0.19248089033166663,0.19556714732637262,16.652738794585364,,,
adamoe,13,0.018772811949669982,0.19087394433895527,0.21059143734767521,0.21479666397641667,0.19286400999799808,0.19087394433895527,16.3297013803456,,,
adamoe,14,0.012186843908477185,0.18855089724782875,0.2091441095756892,0.21777716875177378,0.19597692717687912,0.18855089724782875,16.18708050240849,,,
adamoe,15,0.010875101348513772,0.18865006088260283,0.2039734093248891,0.21751031832831702,0.20121615058158787,0.18865006088260283,16.225121923693564,,,
adamoe,16,0.019757102775222968,0.19207144941405607,0.19922122159226313,0.21238395467333138,0.2045458367026004,0.1917775376177484,16.4773664340223,,,
adamoe,17,0.02491004001036648,0.19820677157124342,0.19422790704901588,0.20492224921139549,0.20478150155474217,0.19786157061360263,16.90493344843144,,,
adamoe,18,0.028787957101590628,0.20591201091853595,0.18888180788378084,0.1993324439001883,0.20132342748038903,0.20455030981710537,17.4145681244987,,,
adamoe,19,0.022231722836686285,0.21213410783051548,0.19054456762808858,0.19519089025340164,0.19434911970883278,0.20778131457916146,17.77354595028931,,,
adamoe,20,0.016135564773635952,0.21288417145604646,0.195664228342235,0.1973889483005422,0.18949812760265894,0.20456452429851735,17.751271594004503,,,
adamoe,21,0.02087299423571859,0.20995213999275503,0.20069498702379024,0.20279468673684645,0.1879903919444414,0.1985677943021672,17.50208931064106,,,
adamoe,22,0.019435655801023355,0.20572010447646905,0.2019058394269954,0.20872491146888403,0.19056714270971034,0.1930820019179415,17.208404868240944,,,
adamoe,23,0.016077652102240853,0.20283993022819852,0.2002888520749857,0.21221882144470466,0.1951120587850101,0.18954033746710125,17.0266902661355,,,
adamoe,24,0.010929652712334897,0.2015420207145437,0.19645758432370944,0.21188317235346804,0.2004818254971409,0.18963539711113764,16.982896682292647,,,
adamoe,25,0.016136388423706016,0.20248102154897463,0.19301216724522935,0.2072603952200951,0.20393646882897248,0.19330994715672808,17.097549187840993,,,
adamoe,26,0.020888041656045575,0.205855494914497,0.19014960363776498,0.20094923438769435,0.2026661724408148,0.2003794946192285,17.36830313342557,,,
adamoe,27,0.024312500845123985,0.21022328737701737,0.18897127191357838,0.19557427456367948,0.19706321356645468,0.2081679525792705,17.68288516930063,,,
adamoe,28,0.012767830053747625,0.2104191125227267,0.19359065206087378,0.1962432710008618,0.19067929853958074,0.20906766587595715,17.669169628467525,,,
adamoe,29,0.021419412597068893,0.20671777071307593,0.20006099448163733,0.20048263487863255,0.18844967831915083,0.20428892160750323,17.38376779264119,,,
adamoe,30,0.023761051734602218,0.20138399668786566,0.20411236153081275,0.20826297698857144,0.18849849502733762,0.19774216976541237,16.999820935675604,,,
adamoe,31,0.021205543971624247,0.1974019160091932,0.202885315725439,0.21452585325228796,0.19283839074943365,0.19234852426364688,16.733325910970986,,,
adamoe,32,0.01603137124907228,0.19486331986043526,0.1995978971328114,0.21653475245735965,0.19884517716889807,0.19015885338049626,16.59514153364024,,,
adamoe,33,0.016348430637326328,0.19609486894221384,0.1956452583115187,0.212313175959989,0.20373429396880663,0.1922124028174721,16.715390619950572,,,
adamoe,34,0.02532992609245635,0.20226834364212232,0.19127192513628555,0.2040215460889941,0.20421707705680486,0.19822110807579368,17.144052234389353,,,
adamoe,35,0.024174359767324627,0.2082080471963662,0.1898988128815733,0.19855390319457256,0.19897065232227631,0.20436858440521208,17.531998102176168,,,
adamoe,36,0.021118446845482225,0.21364115018596874,0.19264089601372503,0.19455239728155393,0.1924129348125538,0.2067526217061989,17.836194346591174,,,
adamoe,37,0.015519096910541014,0.21408279554330895,0.19708057960991326,0.1974306167832957,0.18783326947487866,0.20357273858860325,17.79919138912293,,,
adamoe,38,0.021822969711829288,0.21036501505781197,0.20250248104864604,0.20292020020047763,0.18679842242889455,0.19741388126416975,17.504547279819437,,,
adamoe,39,0.0206490209426482,0.2056924089503926,0.20416751110505077,0.2091189601407768,0.18925914290351464,0.19176197690026492,17.182550605479246,,,
adamoe,40,0.015255379146906112,0.20242591919907515,0.20318453540975515,0.2124894578513754,0.1935163347663687,0.18838375277342453,16.978194943100917,,,
adamoe,41,0.016486907067935458,0.20136594719605883,0.19798424413627852,0.2105062675939011,0.2002369477591209,0.18990659331464052,16.971810819400325,,,
adamoe,42,0.019337410989570536,0.2027252741322177,0.19279436624614343,0.20602743998925097,0.20431427316030382,0.19413864647208406,17.122534096878262,,,
adamoe,43,0.021913698775894913,0.2066282186697741,0.18941856675362923,0.20049281849073608,0.2022678447633855,0.20119255132247515,17.421160774270636,,,
adamoe,44,0.019830376724711107,0.21106363774863884,0.18902580986942194,0.19631372934061023,0.19692450243536286,0.20667232060596574,17.71366926834064,,,
adamoe,45,0.01332311728279112,0.21298159483434714,0.19289206691393015,0.19577084218995544,0.1908058309446218,0.2075496651171445,17.800436411797,,,
adamoe,46,0.0171049872114232,0.21078668495327174,0.197934683849106,0.19928071886049153,0.1884496912836982,0.20354822105343226,17.611800871360824,,,
adamoe,47,0.025671114000488604,0.20515524511859123,0.20263828612768903,0.20741267358215307,0.18824446981594983,0.1965493253556171,17.20359285767991,,,
adamoe,48,0.020437850250306533,0.20061482748641446,0.20153341759401314,0.2131358310672864,0.19274023745596952,0.19197568639631624,16.914671831720955,,,
adamoe,49,0.010331202398883327,0.197601551898767,0.20145023525267974,0.21364835309108032,0.19739331663161713,0.1899065431258553,16.738933228635236,,,
adamoe,50,0.013355365063498464,0.19765206061366844,0.19694427212703358,0.21147663368497732,0.20266643938136142,0.19126059419295888,16.786811204373027,,,
adamoe,51,0.023442549769568388,0.20180141577803853,0.19197218328767504,0.20472744763955167,0.20399975751369975,0.19749919578103464,17.107226516419026,,,
adamoe,52,0.026212940000377105,0.2087367244980972,0.19017617689073954,0.19807023272578297,0.1993465088242154,0.20367035706116454,17.55540090557973,,,
adamoe,53,0.014385962488881493,0.21255014788723908,0.19120990023237877,0.19645092077396648,0.19377283953159127,0.2060161915748243,17.774208094557302,,,
adamoe,54,0.015289163915047171,0.2135416848328509,0.19655714428177082,0.19775672173648606,0.18843229287753557,0.20371215627135628,17.77332463740402,,,
adamoe,55,0.018921344792551975,0.2116050245978358,0.20006325049827567,0.20371128791625703,0.1864587952246888,0.198161641762942,17.586973141371207,,,
adamoe,56,0.020501143495232244,0.20690213280423816,0.20298172617611987,0.20845857630977538,0.1890436029009423,0.19261396180892343,17.26238610899126,,,
adamoe,57,0.019462685069871505,0.2017190710794655,0.20201485923562637,0.2127711290756486,0.19446239267000492,0.18903254793925395,16.95116493107009,,,
adamoe,58,0.012768646105885656,0.1997868245838334,0.19801223170552842,0.212321680048436,0.2004460440163814,0.1894332196458205,16.877374130036998,,,
adamoe,59,0.01869835472574316,0.20174563343411925,0.1928371019184928,0.2081476324726002,0.20386460923503386,0.19340502293975392,17.05674059118524,,,
adamoe,60,0.021911408333201127,0.20625053927418252,0.18994423555883722,0.201771450493611,0.20217795340707811,0.19985582126629126,17.383518115068245,,,
adamoe,61,0.023204108266497964,0.21150629634036994,0.18979692839117893,0.19658321447783839,0.1959114424572601,0.2062021183333529,17.728134106114652,,,
adamoe,62,0.011834130938596726,0.21266436758770155,0.19425182546351633,0.1962472039727371,0.19033038749306297,0.20650621548298218,17.766255221857012,,,
adamoe,63,0.014550029717150303,0.21174484915869596,0.1973819576092669,0.2003920866855616,0.18750669984470805,0.20297440670176747,17.65743775992541,,,
adamoe,64,0.027338943951092598,0.20576325980118762,0.20336457366767308,0.20807894260270185,0.18726831135762384,0.19552491257081384,17.221623945041795,,,
adamoe,65,0.019340289208054723,0.2006172813778712,0.2040954159295988,0.2124681652225866,0.1918183910798406,0.19100074639010278,16.895275981289952,,,
adamoe,66,0.014981734632680904,0.19793359109118897,0.20148379072052008,0.21478942939596468,0.19698799422280316,0.18880519456952344,16.744056227912704,,,
adamoe,67,0.01664177852601395,0.19815797558979006,0.19639200309614174,0.21156032775733602,0.20299178165063728,0.19089791190609517,16.814064759995347,,,
adamoe,68,0.021914970562129515,0.2026373275426233,0.19093379984050837,0.20606104573190454,0.2038995769220574,0.19646824996290646,17.145209127528712,,,
adamoe,69,0.02943183508669131,0.20981123717378486,0.1894648150621204,0.1977154286534436,0.19899826123556072,0.20401025787509064,17.62041677034974,,,
adamoe,70,0.01785611511948787,0.21517313686051368,0.19010889840921902,0.19448461671548978,0.1933010156137706,0.20693233240100714,17.934110723097003,,,
adamoe,71,0.016017509644544903,0.21479162012711983,0.19614806606084137,0.19645420388613993,0.18870494950196712,0.20390116042393208,17.84855877779527,,,
adamoe,72,0.018779977291801586,0.2115038490283908,0.19970477133649228,0.2022874872563898,0.18771041257879306,0.19879347979993434,17.593879780059744,,,
