method,imp_wt_ll_mean,imp_wt_ll_std,daily_ll_mean,worst_day_mean,brier_mean,ece_mean,n
expanding,0.3879841300206135,0.00044725609862824136,0.3890436399354832,0.40670786483117805,0.11991851224555339,0.012291748161228267,8
rolling_3,0.3888199615478284,0.0007776002267806817,0.3897859844068024,0.4071057009671101,0.12011082430214959,0.015961631341227002,8
rolling_7,0.3880175390581213,0.0004915392144677198,0.3890757619095639,0.40690614216527515,0.11993500937947961,0.012333383900760875,8
equal_ensemble,0.3877886975555286,0.000434700887609927,0.38883388280009423,0.40647891799690183,0.1198533141200435,0.013421288044011118,8
long_only,0.38860566629067655,0.00047177173753399347,0.38954896196866773,0.4067609590160012,0.12004727703385204,0.013823776342612252,8
short_only,0.38777412857585514,0.0004497853874914246,0.38885013102492716,0.406561077927253,0.11987107324317005,0.011231071528235177,8
combined,0.3883448482957883,0.0005788844166452945,0.38931481357200043,0.40661406200052524,0.11998858812374466,0.012221536712958754,8
time_of_day,0.38868670457429605,0.0005969746004837367,0.3896090501644865,0.4066725230615812,0.12010538693480906,0.013799181184945771,8
online_platt,0.3879169032683927,0.0007399700318894719,0.38891780090872646,0.4063330057976329,0.1199298058319129,0.010164348034758566,8
oracle_intercept,0.3879529507116832,0.0004172395061761958,0.38896823647971723,0.40646113006936696,0.11995444415616222,0.01128500315549067,8
