comparison,n_seeds,mean_delta,delta_sd,seeds_delta_neg,mean_days_won_frac,seeds_ci_below_zero,sign_test_p
combined_vs_long_only,8,-0.00023414839666735057,0.00014876297304592604,8,0.9166666666666666,6,0.00390625
combined_vs_short_only,8,0.00046468254707326495,0.00029488634399990366,0,0.5,0,1.0
combined_vs_expanding,8,0.00027117363651722043,0.0003650515158004751,2,0.5416666666666666,0,0.96484375
combined_vs_time_of_day,8,-0.00029423659248604267,0.00010860562807829835,8,0.7916666666666666,5,0.00390625
short_only_vs_expanding,8,-0.00019350891055604458,7.94818321204064e-05,8,1.0,8,0.00390625
long_only_vs_expanding,8,0.000505322033184571,0.00036413117609016417,0,0.5,0,1.0
online_platt_vs_combined,8,-0.0003970126632739957,0.0001498431100150338,8,1.0,8,0.00390625
