day,block,R,S,L,L_R,L_S,L_L
16,3,0.49293388011642897,0.25353305994178554,0.25353305994178554,0.618102673543891,0.618102673543891,0.618102673543891
16,4,0.4861673405341119,0.2569163297329441,0.2569163297329441,0.6160156266113016,0.6160156266113016,0.6160156266113016
16,5,0.7496341061446224,0.1251829469276887,0.1251829469276887,0.5968438226431457,0.6093714600357224,0.6093714600357224
16,6,0.8771427975670482,0.06182174085218525,0.061035461580766615,0.6339887978214683,0.6450478645008796,0.6452141135223783
16,7,0.8832783004900608,0.059169501101218214,0.05755219840872082,0.6092728017456901,0.6123488648016228,0.6125865738135007
16,8,0.8600383194893122,0.07151889371999885,0.06844278679068895,0.6042416394748672,0.6041152641529102,0.6043890584719039
16,9,0.8429398722929997,0.08094499903965374,0.07611512866734646,0.6255900987430527,0.6259008860234437,0.6262116081455946
16,10,0.8298783819724806,0.08782718137774204,0.08229443664977727,0.6265629243083367,0.6271733574542022,0.6273385693925012
16,11,0.7725337997715467,0.11761902359508455,0.10984717663336868,0.6033659749899262,0.6008245846814052,0.6009546048517723
16,12,0.7304575731912759,0.139529205132957,0.13001322167576698,0.6045891624310926,0.6031934128097355,0.6032990137172092
16,13,0.6773014706241415,0.1685148016923534,0.1541837276835052,0.6241220452404029,0.6221440382627638,0.6224118960610131
16,14,0.6336480738239799,0.19116874192386232,0.1751831842521578,0.6086211932411253,0.6072360875836624,0.6072936529465768
16,15,0.5669360221709843,0.22743160362277892,0.20563237420623678,0.6265122573576984,0.6240519499926207,0.6242567882169935
16,16,0.551507690490881,0.23432117404320804,0.21417113546591082,0.6140315840604442,0.6138197253773438,0.6137718711507167
16,17,0.5218502600998709,0.24965772386307675,0.22849201603705227,0.619788730682521,0.6189101709296669,0.6189526309331455
16,18,0.4809984419483547,0.2707822067315544,0.2482193513200909,0.6175235754830046,0.6161339728621565,0.6161682752256022
16,19,0.44411421287736214,0.2901419833516677,0.2657438037709703,0.6298315920317572,0.6285191712171112,0.628574648078191
