method,imp_wt_ll,daily_ll,worst_day,brier,ece
short_only,0.3872110528048893,0.3882505449489125,0.40509343961290817,0.11968989045191628,0.010198562148315767
equal_ensemble,0.3872126479399281,0.3882267336313893,0.40493207901540523,0.11967072069759922,0.012960170292351246
rolling_7,0.3872837602725711,0.38831045384640084,0.4053000951048759,0.11972373600823942,0.01023230471994367
expanding,0.38734657156006047,0.3883867545427487,0.4051975325331765,0.11971477029910293,0.011160416374476106
online_platt,0.3874326958199678,0.38839719846494897,0.4050540163234584,0.11976777550214879,0.008329621620492453
oracle_intercept,0.3875818724417114,0.38854579987136634,0.4052110210772084,0.1198167008617134,0.010548475625199786
combined,0.38791462089848294,0.3888381916648558,0.4052576538491097,0.11983866587526572,0.0111744985416827
long_only,0.38827030941148133,0.3891486914270093,0.4053000951048759,0.11992003492135439,0.01334810129027569
time_of_day,0.38843233170872693,0.38927892851111007,0.4053074389178194,0.12000607517059075,0.01416831291254544
rolling_3,0.38853807940438084,0.38944876546065615,0.40561001768778576,0.11997751061836767,0.016915226613522762
