method,day,b_end,a_end
short_only,5,0.006493888482212698,1.0
short_only,6,-0.046572668974425156,1.0
short_only,7,-0.04246447184307439,1.0
short_only,8,-0.041795522707669806,1.0
short_only,9,-0.03982228875265199,1.0
combined,5,0.01605347244043642,1.0
combined,6,-0.04477170215924661,1.0
combined,7,-0.09085798198008208,1.0
combined,8,-0.030719275415677347,1.0
combined,9,-0.0283504047414319,1.0
online_platt,5,0.012188370459963875,1.0147462351746903
online_platt,6,-0.022807827381745326,1.0697921296547506
online_platt,7,-0.04054841938384976,1.0859106938044554
online_platt,8,-0.0034965152863963202,1.0423789730396658
online_platt,9,-0.006056065130281767,1.0467465077949192
