mix_eta,mix_halflife,mean_dev_loss,mean_worst_day_loss
150.0,3.0,0.6099038307633046,0.6173239161828429
150.0,5.0,0.6099038446699397,0.6173239161828429
150.0,10.0,0.6099038583824253,0.6173239161828429
60.0,3.0,0.6099126084381988,0.6173505428689348
60.0,5.0,0.6099126096028086,0.6173505428689348
60.0,10.0,0.6099126115718744,0.6173505428689348
30.0,5.0,0.609915803158042,0.6173598708208089
30.0,3.0,0.6099158033557552,0.6173598708208089
30.0,10.0,0.6099158035185454,0.6173598708208089
10.0,10.0,0.6099180099935878,0.6173662156751112
10.0,5.0,0.6099180100156324,0.6173662156751112
10.0,3.0,0.6099180102592985,0.6173662156751112
1000000.0,3.0,0.6100117108845,0.6170853481703741
1000000.0,5.0,0.6100313366611566,0.6170853481703741
1000000.0,10.0,0.6100345656080026,0.6170853481703741
