B,eta0,schedule,mean_dev_loss,mean_worst_day_loss
0.25,0.3,const,0.6095787523644709,0.6167141644168016
0.5,0.3,const,0.6095787523644709,0.6167141644168016
1.0,0.3,const,0.6095787523644709,0.6167141644168016
2.0,0.3,const,0.6095787523644709,0.6167141644168016
0.25,0.1,const,0.6096745172492622,0.6167444421558588
0.5,0.1,const,0.6096745172492622,0.6167444421558588
1.0,0.1,const,0.6096745172492622,0.6167444421558588
2.0,0.1,const,0.6096745172492622,0.6167444421558588
0.25,0.03,const,0.6097480985980582,0.6168057608517881
0.5,0.03,const,0.6097480985980582,0.6168057608517881
1.0,0.03,const,0.6097480985980582,0.6168057608517881
2.0,0.03,const,0.6097480985980582,0.6168057608517881
0.25,0.01,const,0.6098259304351141,0.6170382357769743
0.5,0.01,const,0.6098259304351141,0.6170382357769743
1.0,0.01,const,0.6098259304351141,0.6170382357769743
2.0,0.01,const,0.6098259304351141,0.6170382357769743
0.25,0.03,inv_sqrt,0.6098319482036165,0.616909571244702
0.5,0.03,inv_sqrt,0.6098319482036165,0.616909571244702
1.0,0.03,inv_sqrt,0.6098319482036165,0.616909571244702
2.0,0.03,inv_sqrt,0.6098319482036165,0.616909571244702
0.25,0.1,inv_sqrt,0.6098359774669624,0.6169058413545044
0.5,0.1,inv_sqrt,0.6098359774669624,0.6169058413545044
1.0,0.1,inv_sqrt,0.6098359774669624,0.6169058413545044
2.0,0.1,inv_sqrt,0.6098359774669624,0.6169058413545044
0.25,0.01,inv_sqrt,0.6098718847893395,0.6171416790091535
0.5,0.01,inv_sqrt,0.6098718847893395,0.6171416790091535
1.0,0.01,inv_sqrt,0.6098718847893395,0.6171416790091535
2.0,0.01,inv_sqrt,0.6098718847893395,0.6171416790091535
0.25,0.3,inv_sqrt,0.6099932867870371,0.6178241663343478
0.5,0.3,inv_sqrt,0.6099932867870371,0.6178241663343478
1.0,0.3,inv_sqrt,0.6099932867870371,0.6178241663343478
2.0,0.3,inv_sqrt,0.6099932867870371,0.6178241663343478
