lambda,mean_dev_loss,mean_worst_day_loss
0.0,0.609919016518531,0.617369103801474
0.25,0.6099190364145082,0.6173691843297585
0.5,0.6099190586963468,0.6173692648666075
0.75,0.6099190886892396,0.6173693454120209
0.99,0.6099191345725054,0.6173694227436756
