day,beta,q_expanding,q_rolling_1,q_rolling_3,q_rolling_7,q_rolling_14,m_expanding,m_rolling_1,m_rolling_3,m_rolling_7,m_rolling_14
4,0.2689414322376251,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
5,0.2984144985675812,0.245880588889122,0.04019911587238312,0.22215907275676727,0.245880588889122,0.245880588889122,0.2096346765756607,0.16642317175865173,0.20467284321784973,0.2096346765756607,0.2096346765756607
6,0.2688919007778168,0.30877983570098877,0.016795910894870758,0.05686512216925621,0.30877983570098877,0.30877989530563354,0.23106782138347626,0.13384020328521729,0.17295633256435394,0.23106780648231506,0.23106783628463745
7,0.3586598038673401,0.3194517493247986,0.02066183276474476,0.020982947200536728,0.3194517493247986,0.31945177912712097,0.24783815443515778,0.11206658184528351,0.14441895484924316,0.24783813953399658,0.24783816933631897
8,0.4995107650756836,0.2864221930503845,0.10432286560535431,0.03641011193394661,0.2864221930503845,0.2864222228527069,0.2538251578807831,0.10972938686609268,0.1287951022386551,0.2538251280784607,0.25382518768310547
9,0.6134989261627197,0.10561440885066986,0.5612501502037048,0.11498255282640457,0.11253858357667923,0.10561440140008926,0.23638588190078735,0.16346418857574463,0.12660497426986694,0.23715901374816895,0.23638591170310974
10,0.6721933484077454,0.02149614691734314,0.6821058392524719,0.25178244709968567,0.02311919443309307,0.02149614691734314,0.21283967792987823,0.2231305092573166,0.13751141726970673,0.21367865800857544,0.21283970773220062
11,0.7441228628158569,0.007264200132340193,0.3323826789855957,0.6456376314163208,0.007451633922755718,0.007264201529324055,0.19751104712486267,0.23193731904029846,0.17474007606506348,0.19830045104026794,0.19751107692718506
12,0.8427129983901978,0.002692155772820115,0.10608519613742828,0.8860016465187073,0.0025295026134699583,0.002692155772820115,0.188356414437294,0.22592830657958984,0.208257257938385,0.18910153210163116,0.1883564591407776
13,0.9351376295089722,0.0012258688220754266,0.046820465475320816,0.9497076869010925,0.0010214224457740784,0.001225868589244783,0.1837884485721588,0.22157371044158936,0.22634011507034302,0.18450920283794403,0.1837884932756424
14,0.9656906723976135,0.0012273702304810286,0.029677551239728928,0.9669627547264099,0.0009044999023899436,0.0012273702304810286,0.18192541599273682,0.21962161362171173,0.2338918149471283,0.18263565003871918,0.1819254755973816
15,0.9729335904121399,0.0020409126300364733,0.026934023946523666,0.9676351547241211,0.0013498805928975344,0.0020409123972058296,0.1806822121143341,0.21828563511371613,0.2389664351940155,0.1813834309577942,0.18068227171897888
16,0.9745633006095886,0.004029952455312014,0.030287468805909157,0.9592291712760925,0.0024238775949925184,0.0040299417451024055,0.17946091294288635,0.21698257327079773,0.2439485490322113,0.1801469475030899,0.17946097254753113
17,0.9746938347816467,0.008873630315065384,0.04028550907969475,0.9370248317718506,0.0049424199387431145,0.0088732885196805,0.178200826048851,0.21566733717918396,0.24907732009887695,0.1788536012172699,0.1782008856534958
18,0.9781874418258667,0.017768271267414093,0.053889062255620956,0.9015095829963684,0.009060798212885857,0.01777215488255024,0.17699597775936127,0.21445301175117493,0.253985196352005,0.17756971716880798,0.17699606716632843
19,0.980066180229187,0.038937557488679886,0.07712310552597046,0.8262664675712585,0.018608348444104195,0.03906530141830444,0.17608235776424408,0.2135445475578308,0.2577875852584839,0.1765020787715912,0.17608338594436646
20,0.9703297019004822,0.09274166077375412,0.11492569744586945,0.652742326259613,0.045529335737228394,0.09406158328056335,0.17549067735671997,0.2128797471523285,0.2605364918708801,0.17559249699115753,0.1755005419254303
21,0.945441484451294,0.1554556041955948,0.14455796778202057,0.4528692662715912,0.08378542214632034,0.16333167254924774,0.17525458335876465,0.21213163435459137,0.26270294189453125,0.17455871403217316,0.1753520518541336
22,0.9000932574272156,0.20149916410446167,0.15464989840984344,0.29719045758247375,0.12282025814056396,0.22384102642536163,0.1757812201976776,0.21093475818634033,0.2634882926940918,0.1734522581100464,0.1763433963060379
23,0.8740689754486084,0.2893660366535187,0.1270558387041092,0.152062326669693,0.14121583104133606,0.2903003990650177,0.18002258241176605,0.20771999657154083,0.2593050003051758,0.17235788702964783,0.18059447407722473
24,0.8478022217750549,0.4828016757965088,0.07196750491857529,0.052371520549058914,0.09382861107587814,0.29903069138526917,0.19551077485084534,0.20078709721565247,0.24870139360427856,0.16832990944385529,0.18667078018188477
25,0.8101949691772461,0.6917441487312317,0.03752317279577255,0.018453892320394516,0.040092892944812775,0.21218593418598175,0.22871007025241852,0.1898840218782425,0.23330315947532654,0.15973949432373047,0.1883632242679596
26,0.7485849261283875,0.7715059518814087,0.02903343178331852,0.011366124264895916,0.02303924784064293,0.16505487263202667,0.27136310935020447,0.17730167508125305,0.21603107452392578,0.149025559425354,0.1862785816192627
27,0.7134054899215698,0.7601791024208069,0.03380417823791504,0.011789956130087376,0.02070443518459797,0.17352300882339478,0.31404685974121094,0.1647689789533615,0.1982194483280182,0.137832373380661,0.18513232469558716
28,0.6603151559829712,0.7273536920547485,0.045818228274583817,0.01622793637216091,0.02489105798304081,0.18570992350578308,0.3553171753883362,0.15288184583187103,0.18009266257286072,0.12657135725021362,0.18513694405555725
29,0.5489361882209778,0.7534477710723877,0.04744529351592064,0.017936965450644493,0.025498049333691597,0.15567205846309662,0.40523621439933777,0.13964562118053436,0.159280464053154,0.11377792805433273,0.18205973505973816
30,0.39587414264678955,0.7441938519477844,0.05183466523885727,0.019746562466025352,0.023555809631943703,0.16066907346248627,0.46177178621292114,0.12503616511821747,0.13539014756679535,0.09849364310503006,0.17930825054645538
31,0.3298427164554596,0.32079169154167175,0.16606563329696655,0.04597320035099983,0.03168812394142151,0.4354810118675232,0.4339210093021393,0.13292211294174194,0.11697499454021454,0.0847310870885849,0.23145079612731934
