day,selected_window
7,expanding
8,expanding
9,expanding
10,expanding
11,expanding
12,expanding
13,expanding
14,expanding
15,expanding
16,expanding
17,expanding
18,expanding
19,rolling_14
20,rolling_3
21,rolling_3
22,rolling_3
23,rolling_3
24,rolling_3
25,rolling_3
26,rolling_3
27,rolling_7
28,rolling_7
29,rolling_7
30,expanding
31,expanding
32,expanding
33,expanding
34,expanding
35,rolling_14
36,rolling_14
37,rolling_14
38,rolling_14
39,rolling_3
40,rolling_3
41,rolling_3
42,rolling_3
43,rolling_3
44,rolling_7
45,rolling_7
46,rolling_7
47,expanding
48,expanding
49,expanding
50,rolling_3
51,rolling_3
52,rolling_3
53,rolling_3
54,rolling_3
55,rolling_3
56,rolling_7
57,rolling_7
58,rolling_7
59,rolling_7
60,rolling_7
61,rolling_7
62,rolling_7
63,rolling_7
64,expanding
65,expanding
66,expanding
67,rolling_3
68,rolling_3
69,expanding
70,expanding
71,expanding
72,expanding
73,rolling_14
74,rolling_3
75,rolling_3
76,rolling_3
77,rolling_3
78,rolling_7
79,rolling_7
80,rolling_7
81,rolling_7
82,rolling_7
83,rolling_7
84,rolling_7
85,rolling_7
86,rolling_7
87,rolling_7
88,expanding
89,expanding
90,expanding
91,rolling_3
92,rolling_3
93,rolling_3
94,rolling_3
95,rolling_3
96,rolling_3
97,rolling_3
98,rolling_7
99,rolling_7
100,rolling_7
101,rolling_7
102,expanding
103,expanding
104,expanding
105,rolling_3
106,rolling_3
107,rolling_3
108,rolling_3
109,rolling_3
110,rolling_3
111,rolling_7
112,rolling_7
113,rolling_7
114,rolling_7
115,rolling_7
116,rolling_7
117,rolling_7
118,expanding
119,expanding
