method,day,gate_move_l1,pi_expanding,pi_rolling_1,pi_rolling_3,pi_rolling_7,pi_rolling_14,h_eff,pi_m2,pi_m5b,pi_m5b_hs
adamoe,4,,0.2,0.2,0.2,0.2,0.2,17.0,,,
adamoe,5,0.004445499975867795,0.20042287655509228,0.19777725001206625,0.20095412032265725,0.20042287655509228,0.20042287655509228,17.034892611942514,,,
adamoe,6,0.003927556314764907,0.20028630561579014,0.19622318467259045,0.20291789848003994,0.20028630561579014,0.20028630561579014,17.02816763499171,,,
adamoe,7,0.009116963720218002,0.20168009356704197,0.1916647028124808,0.20329501648639278,0.20168009356704197,0.20168009356704197,17.13763733120206,,,
adamoe,8,0.006087305544754118,0.20269464449116759,0.18935496475736918,0.20256110176912712,0.20269464449116759,0.20269464449116759,17.215304473849326,,,
adamoe,9,0.007575844012965266,0.20403943650899672,0.187025264931553,0.20110287958846107,0.20379298246199234,0.20403943650899672,17.31580308259664,,,
adamoe,10,0.006906852409571035,0.20574550482899057,0.18569552785498755,0.19897919046024057,0.20383427202678975,0.20574550482899057,17.43464036076854,,,
adamoe,11,0.00439227049049834,0.20650354181965663,0.18637558911890462,0.198442674716946,0.20217465252483519,0.20650354181965663,17.47818827559818,,,
adamoe,12,0.017133409703383617,0.20424210150271835,0.19328313228800548,0.2001018363995369,0.19813082830701992,0.20424210150271835,17.294419950836915,,,
adamoe,13,0.019218917746692987,0.2009573179494203,0.19949851540854935,0.2034959121523397,0.1950909365402697,0.2009573179494203,17.046464335904556,,,
adamoe,14,0.021413772633574107,0.1960226623232279,0.20448223480420236,0.20921907907347392,0.1942533614758676,0.1960226623232279,16.69759001427456,,,
adamoe,15,0.019819444321790475,0.19106780124278036,0.2081645890316433,0.21420359329329813,0.19549621518949784,0.19106780124278036,16.35826616720377,,,
adamoe,16,0.015988242333147218,0.18731748236038798,0.20849297418021073,0.21915585498575468,0.19820968951504753,0.1868239989585992,16.108013292786474,,,
adamoe,17,0.01060172833922432,0.1863567199133015,0.20520834032568414,0.21954631934305593,0.20312008932735853,0.1857685310906002,16.067850553712855,,,
adamoe,18,0.015960679303186065,0.1882300981204281,0.20052667748946246,0.21624764252768464,0.20706617705619781,0.1879294048062274,16.22355039897877,,,
adamoe,19,0.01624597250968912,0.19038342896121546,0.19571651860355893,0.21293481515874343,0.20991617416152675,0.1910490631149555,16.401626804492782,,,
adamoe,20,0.019215326852794506,0.1948249730281425,0.19191405693306673,0.2071296134028382,0.2101386839548764,0.1959926726810759,16.717669484049328,,,
adamoe,21,0.02712296565233996,0.202298472873718,0.18796725547716742,0.2015793990991498,0.20607421688829447,0.20208065566167072,17.20226252267915,,,
adamoe,22,0.018676092896358798,0.20913042862209913,0.18795203880585448,0.19812500015923878,0.2002057860513391,0.20458674636146906,17.595807708029458,,,
adamoe,23,0.018643558363352908,0.2144024527741874,0.1920017938354426,0.19558642238702076,0.19445571329230782,0.20355361771104186,17.85384886844849,,,
adamoe,24,0.015211632994242774,0.2166836882463452,0.19375685728908212,0.1991559399583448,0.19109272242895445,0.1993107920772738,17.920246118029343,,,
adamoe,25,0.022716039965820695,0.21324654355167388,0.20039468684890188,0.2038761303814353,0.1906038129183208,0.19187882629966835,17.627345949717245,,,
adamoe,26,0.020970387139751606,0.2081103568310343,0.20365420789028732,0.20953131716508103,0.19217429866316543,0.18652981945043215,17.275507132195795,,,
adamoe,27,0.016979445661183118,0.20336315467298277,0.2042202887971641,0.2131927825148352,0.19643647523712587,0.18278729877789196,16.979665426271005,,,
adamoe,28,0.011164428100837953,0.19965334729850379,0.2026052356369448,0.21447153084475176,0.20073994095762837,0.18252994526217137,16.785819486455225,,,
adamoe,29,0.016443799650336238,0.19921276290929052,0.19700413811595785,0.21229131292978404,0.20528468061940086,0.18620710542556718,16.83053609175649,,,
adamoe,30,0.017713088737190685,0.2009768507299736,0.19273751267232203,0.20770139400482449,0.2068060010586199,0.19177824153426037,17.006990127375197,,,
adamoe,31,0.019288657213443555,0.20434872154036585,0.18925625123364165,0.20288952190872156,0.20545480598668137,0.19805069933058983,17.269741541916787,,,
adamoe,32,0.020227841588426998,0.20873471090336765,0.18787312167718717,0.1985260312776753,0.20108750537996828,0.2037786307618012,17.568047238037266,,,
adamoe,33,0.015290706973148327,0.211579271225307,0.19154564778771044,0.1963836081383652,0.19558457503270443,0.20490689781591295,17.71324134037294,,,
adamoe,34,0.010559848392351107,0.21258018680847984,0.1944716005577376,0.19773666398134093,0.19278676068377515,0.20242478796866686,17.725947157358313,,,
adamoe,35,0.021399965752784855,0.20964421940903064,0.20010975761728536,0.2027984897981855,0.19091587264267357,0.19653166053282511,17.475012747511947,,,
adamoe,36,0.019963786134767042,0.20479316293622013,0.20250441674214018,0.2081457843364778,0.19315581204690996,0.19140082393825208,17.14623376538868,,,
adamoe,37,0.020177206345946275,0.1994246122149833,0.20463421208216448,0.21315184291971404,0.19610856129662263,0.18668077148651585,16.795857203627886,,,
adamoe,38,0.015423913233095665,0.19508961733348712,0.2030224442617749,0.2162276080294291,0.20074475280345505,0.18491557757185345,16.551113663989423,,,
adamoe,39,0.011758094702187832,0.1938435529071823,0.20028975007330074,0.2143273192931145,0.2052206518148974,0.18631872591150533,16.51889160784894,,,
adamoe,40,0.015612878891795773,0.1950412031638802,0.1958601468915702,0.21095048302894703,0.20820801628861876,0.18994015062698383,16.64780200860933,,,
adamoe,41,0.018237719165859784,0.19836653894914558,0.19107125533771085,0.20662051499987638,0.20872036849758813,0.1952213222156789,16.907066227788697,,,
adamoe,42,0.024393805912529792,0.20472834081878716,0.1874405920058753,0.20150122341231597,0.20527342046071917,0.20105642330230217,17.327348580827316,,,
adamoe,43,0.018009540428562204,0.20985553105296417,0.1884928836602437,0.1978655532791624,0.19990432037959183,0.20388171162803803,17.627095612125256,,,
adamoe,44,0.01760980799746306,0.21570953248169256,0.19144378623024683,0.19628198727225654,0.1938243258944502,0.20274036812135396,17.917997131908677,,,
adamoe,45,0.017319769184872907,0.21655952884212287,0.1964318887114812,0.1991037730230284,0.19027548280123374,0.19762932662213406,17.886053890626453,,,
adamoe,46,0.01873314158708611,0.2125776095623535,0.19990259910233016,0.2042315657268386,0.1910435505001175,0.19224467510836024,17.59598417504192,,,
adamoe,47,0.019423788562454664,0.20828288107125695,0.20236350475936493,0.20935914503869935,0.19316695981244913,0.18682750931822928,17.295167653293234,,,
