variant,hidden,lr,weight_decay,dropout,delta_max,dev_imp_wt_ll,seconds,mlp_hidden,rank,cross_dim
v1_transformer,16,0.0003,1e-05,0.0,1.0,0.6063162669578958,24.074084520339966,,,
v1_transformer,16,0.0003,1e-05,0.0,2.0,0.6063162669578958,24.217113971710205,,,
v1_transformer,16,0.0003,1e-05,0.1,1.0,0.6063162669578958,29.0805926322937,,,
v1_transformer,16,0.0003,1e-05,0.1,2.0,0.6063162669578958,29.132725477218628,,,
v1_transformer,16,0.0003,0.0001,0.0,1.0,0.6063162669578958,24.291337490081787,,,
v1_transformer,16,0.0003,0.0001,0.0,2.0,0.6063162669578958,24.273093938827515,,,
v1_transformer,16,0.0003,0.0001,0.1,1.0,0.6063162669578958,29.136712551116943,,,
v1_transformer,16,0.0003,0.0001,0.1,2.0,0.6063162669578958,29.16190195083618,,,
v1_transformer,16,0.001,1e-05,0.0,1.0,0.6063162669578958,24.291935920715332,,,
v1_transformer,16,0.001,1e-05,0.0,2.0,0.6063162669578958,24.35622811317444,,,
v1_transformer,16,0.001,1e-05,0.1,1.0,0.6063162669578958,29.163273096084595,,,
v1_transformer,16,0.001,1e-05,0.1,2.0,0.6063162669578958,29.140145778656006,,,
v1_transformer,16,0.001,0.0001,0.0,1.0,0.6063162669578958,24.17946457862854,,,
v1_transformer,16,0.001,0.0001,0.0,2.0,0.6063162669578958,24.239975452423096,,,
v1_transformer,16,0.001,0.0001,0.1,1.0,0.6063162669578958,29.11938238143921,,,
v1_transformer,16,0.001,0.0001,0.1,2.0,0.6063162669578958,29.095961332321167,,,
v1_transformer,32,0.0003,1e-05,0.0,1.0,0.6063145861043395,55.14276194572449,,,
v1_transformer,32,0.0003,1e-05,0.0,2.0,0.6063162669578958,37.54120850563049,,,
v1_transformer,32,0.0003,1e-05,0.1,1.0,0.6063145785720168,61.980488300323486,,,
v1_transformer,32,0.0003,1e-05,0.1,2.0,0.6063162669578958,42.317723989486694,,,
v1_transformer,32,0.0003,0.0001,0.0,1.0,0.6063146671546266,55.1473662853241,,,
v1_transformer,32,0.0003,0.0001,0.0,2.0,0.6063162669578958,37.52739667892456,,,
v1_transformer,32,0.0003,0.0001,0.1,1.0,0.6063146608326598,62.08027124404907,,,
v1_transformer,32,0.0003,0.0001,0.1,2.0,0.6063162669578958,42.43119168281555,,,
v1_transformer,32,0.001,1e-05,0.0,1.0,0.6063162669578958,37.62158465385437,,,
v1_transformer,32,0.001,1e-05,0.0,2.0,0.6063162669578958,37.629611015319824,,,
v1_transformer,32,0.001,1e-05,0.1,1.0,0.6063162669578958,42.428592920303345,,,
v1_transformer,32,0.001,1e-05,0.1,2.0,0.6063162669578958,42.37729024887085,,,
v1_transformer,32,0.001,0.0001,0.0,1.0,0.6063162669578958,37.628607749938965,,,
v1_transformer,32,0.001,0.0001,0.0,2.0,0.6063162669578958,37.59781813621521,,,
v1_transformer,32,0.001,0.0001,0.1,1.0,0.6063162669578958,42.44131660461426,,,
v1_transformer,32,0.001,0.0001,0.1,2.0,0.6063162669578958,42.498796463012695,,,
v1_transformer,64,0.0003,1e-05,0.0,1.0,0.6063162669578958,63.637720823287964,,,
v1_transformer,64,0.0003,1e-05,0.0,2.0,0.6063162669578958,63.57663297653198,,,
