day,mean_alpha
4,0.10871428571428572
5,0.10871428571428574
6,0.10852644867890496
7,0.10816327514196436
8,0.10769672529293953
9,0.10701919231105968
10,0.1065019256159115
11,0.10566990517674521
12,0.10474932448364005
13,0.10383128257066311
14,0.10297817522824028
15,0.10200900316681241
16,0.10130099664814972
17,0.10020108510112606
18,0.09889981028656307
19,0.09764318237917782
20,0.09672836982760875
21,0.09554647801627944
22,0.09435812194438423
23,0.09351588464063143
24,0.09232430832221312
25,0.09121016301015415
26,0.09033724044909648
27,0.08904578040571827
28,0.0877929990162066
29,0.08665306905234457
30,0.08574900330386104
31,0.08462547423166661
32,0.08355807821632624
33,0.0825119571746986
34,0.08147720737639057
35,0.08042021447122437
36,0.07921566316624175
37,0.07783975969538319
38,0.07667093094517774
39,0.07552480022691725
40,0.07455582388999164
41,0.0736724308009705
42,0.07254375473222964
43,0.07128299181369108
44,0.07014811574261981
45,0.06939861149104318
46,0.06850969172293331
47,0.06755626883388463
48,0.06662080222494655
49,0.06559049744673019
50,0.06444188243433345
51,0.06339343334918905
52,0.0626940806629112
53,0.061935432006329796
54,0.06086256472056505
55,0.05989935374475949
56,0.059043962557312105
57,0.05816014714176662
58,0.05735090680793944
59,0.05630837812689724
60,0.05533971058211832
61,0.05627226082255274
62,0.0671381140144548
63,0.0829645280532062
64,0.10147536107232315
65,0.11448067548124938
66,0.12099598656683622
67,0.12385329750343123
68,0.1237584356691592
69,0.12271967709016628
70,0.12086006898195101
71,0.11882991731489798
72,0.11697208608766882
73,0.11516387956548901
74,0.1133392489218755
75,0.11198614194044589
76,0.11034060055242144
77,0.10897756295382115
78,0.10754723961480347
79,0.10621670416921057
80,0.1047057691139438
81,0.10338801537603189
82,0.10203857613508022
83,0.10041063978481744
84,0.09902379323358092
85,0.09756419517970012
86,0.09599335505736019
87,0.09474033916780222
88,0.09325660683830578
89,0.09183035863267969
90,0.09055926977460185
91,0.08914168124397615
92,0.08778541738728037
93,0.08638733176925562
94,0.08531860778883014
95,0.08417173762969098
96,0.08306664160971755
97,0.08175923837191361
98,0.08054598190414622
99,0.07956791153025163
100,0.07838686190084815
101,0.07728486537937651
102,0.0760333317692505
103,0.07496303612776721
104,0.07392718110719251
105,0.07280777566406624
106,0.0718656830545823
107,0.07076463984442917
108,0.06966169725531957
109,0.06874752438937275
110,0.0677711270894078
111,0.06679049366496304
112,0.06590449619190614
113,0.06517884200767383
114,0.06431488769678262
115,0.06338054733542599
116,0.062461801455154946
117,0.061631650748176364
118,0.060829257382858076
119,0.05992811410821876
