a,b,mean_diff (a - b),ci95_lo,ci95_hi,mbb_ci95_lo,mbb_ci95_hi,a_better_days,D,ci_excludes_0
Expanding + AP-OPS,Expanding,-0.000352391721947054,-0.0005419924770126317,-0.00017648158216914122,-0.0005542754688892427,-0.00013972897986804788,5,5,True
TTAM,AMG-TP only,-0.0005771170614921828,-0.0008935968036026809,-0.0003029868097217836,-0.0008677248321729114,-0.0003012030008883171,5,5,True
AMG-TP only,Expanding,-0.0005802549029939597,-0.0009179907401842602,-0.00027079650230583675,-0.0008521950120404798,-0.00026442851408612353,5,5,True
TTAM,Expanding + AP-OPS,-0.0008049802425390884,-0.0011387245278424052,-0.0005313278565473922,-0.001071085686723139,-0.0004975882707733192,5,5,True
