day,beta,q_expanding,q_rolling_1,q_rolling_3,q_rolling_7,q_rolling_14,m_expanding,m_rolling_1,m_rolling_3,m_rolling_7,m_rolling_14
4,0.2689414322376251,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
5,0.29667243361473083,0.2793672978878021,0.04049483686685562,0.12140394747257233,0.2793672978878021,0.2793672978878021,0.21668508648872375,0.1664496511220932,0.18349507451057434,0.21668508648872375,0.21668510138988495
6,0.2521892189979553,0.3206087350845337,0.011035140603780746,0.027140475809574127,0.3206087350845337,0.3206087350845337,0.23978957533836365,0.1318655014038086,0.14876572787761688,0.23978957533836365,0.23978960514068604
7,0.2013198435306549,0.3247511088848114,0.0078709926456213,0.01787577010691166,0.3247511088848114,0.3247511088848114,0.26017260551452637,0.10213539749383926,0.11734677106142044,0.26017260551452637,0.26017260551452637
8,0.1898934543132782,0.3208048343658447,0.010869432240724564,0.026715995743870735,0.3208048343658447,0.3208048343658447,0.27518516778945923,0.07956036925315857,0.09488404542207718,0.27518516778945923,0.27518516778945923
9,0.20336753129959106,0.32036110758781433,0.020009532570838928,0.05028851702809334,0.2889805734157562,0.32036110758781433,0.2859886884689331,0.06528951972723007,0.08420762419700623,0.2785254120826721,0.2859886884689331
10,0.24624153971672058,0.3339459002017975,0.029656488448381424,0.07054279744625092,0.23190957307815552,0.3339459002017975,0.2967801094055176,0.05730421096086502,0.08118848502635956,0.2679470479488373,0.2967801094055176
11,0.30091217160224915,0.384443074464798,0.03087589517235756,0.06401771306991577,0.136220321059227,0.384443074464798,0.3146025240421295,0.05190993845462799,0.07788141816854477,0.24100354313850403,0.3146025538444519
12,0.36647239327430725,0.43001431226730347,0.024064330384135246,0.04018455371260643,0.0757235586643219,0.43001437187194824,0.33704450726509094,0.046426158398389816,0.07042534649372101,0.20905941724777222,0.33704453706741333
13,0.39953386783599854,0.4454404413700104,0.02162611111998558,0.03357662633061409,0.05391594022512436,0.44544047117233276,0.356687068939209,0.04191243648529053,0.06371702998876572,0.1809963434934616,0.35668709874153137
14,0.39812931418418884,0.4396156370639801,0.024097951129078865,0.04295476898550987,0.053716935217380524,0.4396156966686249,0.371576726436615,0.03873249888420105,0.06002335995435715,0.15809062123298645,0.3715767562389374
15,0.392900288105011,0.41917964816093445,0.03183381259441376,0.06325729191303253,0.06655021756887436,0.41917961835861206,0.3800910413265228,0.03759167715907097,0.06073383986949921,0.1414923220872879,0.3800910711288452
16,0.39816686511039734,0.4439009726047516,0.035241108387708664,0.0568418987095356,0.07391852140426636,0.3900974988937378,0.39202454686164856,0.0370439738035202,0.05990145727992058,0.12906135618686676,0.38196861743927
17,0.40512558817863464,0.4998372793197632,0.033816397190093994,0.05031752586364746,0.08485738933086395,0.3311716318130493,0.4110035300254822,0.03652485832571983,0.05825963243842125,0.12124282121658325,0.3729690909385681
18,0.4146276116371155,0.6153895854949951,0.026942307129502296,0.04851670190691948,0.08792955428361893,0.22122153639793396,0.446725457906723,0.034855570644140244,0.05655853450298309,0.11543120443820953,0.34642916917800903
